name	doi	aerobic_status	morphology	motility	spore_formation	gram_stain	bile_sensitive	saccharolytic	comments	urease	catalase	formate_production	acetate_production	propionate_production	butyrate_production	isobutyrate_production	valerate_production	isovalerate_production
Desulfotomaculum reducens	10.1099/ijsem.0.000786	not indicated	slightly curved rods	motile	spore forming	not indicated	not indicated	saccharolytic		not indicated	not indicated	consumed	major product	consumed	consumed	not indicated	consumed	not indicated
Desulfotomaculum ruminis	N/A	anaerobe (unspecified)	rod/ bacilli	motile	spore forming	Gram-negative	not indicated	asaccharolytic	http://mmbr.asm.org/content/29/3/359.full.pdf+html	not indicated	not indicated	consumed	not consumed	not indicated	not indicated	not indicated	not indicated	not indicated
Desulfotomaculum solfataricum	10.1099/ijs.0.02476-0	not indicated	rod/ bacilli	not indicated	spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	consumed	consumed	consumed	consumed	not indicated	not indicated	not indicated
Desulfotomaculum thermosapovorans	10.1099/00207713-45-2-218	not indicated	rod/ bacilli	motile	spore forming	not indicated	not indicated	not indicated		not indicated	not indicated	consumed	major product	not consumed	consumed	not indicated	consumed	not indicated
Desulfotomaculum thermosubterraneum	10.1099/ijs.0.64439-0	not indicated	rod/ bacilli	motile	spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Peptostreptococcus asaccharolyticus	10.1099/00207713-33-4-683	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	mixed		urease negative	catalase variable	not indicated	major product	minor product	major product	not producted	not indicated	not producted
Peptostreptococcus harei	10.1099/00207713-47-3-781	obligate anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	mixed		urease negative	catalase variable	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Peptostreptococcus heliotrinreducens	10.1099/00207713-36-1-107	anaerobe (unspecified)	cocci	not indicated	not indicated	not indicated	not indicated	asaccharolytic		urease negative	not indicated	not indicated	major product	not indicated	minor product	not indicated	not indicated	major product
Peptostreptococcus hydrogenalis	10.1099/00207713-40-3-305	obligate anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	catalase variable	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Peptostreptococcus indolicus	10.1099/00207713-33-4-683	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	asaccharolytic		urease negative	catalase negative	not indicated	major product	major product	major product	not indicated	not indicated	not indicated
Peptostreptococcus ivorii	10.1099/00207713-47-3-781	obligate anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	asaccharolytic		urease negative	catalase variable	not indicated	minor product	minor product	major product	minor product	minor product	major product
Peptostreptococcus lacrimalis	10.1099/00207713-42-4-602	obligate anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	asaccharolytic		urease negative	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Peptostreptococcus lactolyticus	10.1099/00207713-42-4-602	obligate anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		urease positive	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Peptostreptococcus magnus	10.1099/00207713-33-4-683	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated		urease negative	catalase variable	not indicated	major product	not indicated	not producted	not indicated	not indicated	not indicated
Peptostreptococcus octavius	10.1099/00207713-47-3-781	obligate anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	catalase variable	not indicated	not indicated	not indicated	major product	not indicated	not indicated	major product
Peptostreptococcus prevotii	10.1099/00207713-33-4-683	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	mixed		not indicated	catalase variable	not indicated	major product	minor product	major product	not indicated	not indicated	not indicated
Peptostreptococcus russellii	10.1099/ijs.0.023762-0	obligate anaerobe	cocci	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	minor product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Peptostreptococcus tetradius	10.1099/00207713-33-4-683	obligate anaerobe	not indicated	not indicated	not indicated	not indicated	not indicated	saccharolytic		urease positive	catalase variable	not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated
Peptostreptococcus vaginalis	10.1099/00207713-42-4-602	obligate anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Lachnoanaerobaculum orale	10.1099/ijs.0.033613-0	obligate anaerobe	rod/ bacilli	not indicated	spore forming	Gram-variable	not indicated	saccharolytic		urease positive	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Lachnoanaerobaculum saburreum	10.1099/ijs.0.033613-0	obligate anaerobe	rod/ bacilli	not indicated	spore forming	Gram-variable	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Lachnoanaerobaculum umeaense	10.1099/ijs.0.033613-0	obligate anaerobe	rod/ bacilli	not indicated	spore forming	Gram-variable	not indicated	saccharolytic		urease positive	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Helcococcus kunzii	10.1099/00207713-43-3-425	facultative anaerobe	not indicated	non-motile	not indicated	not indicated	no growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helcococcus ovis	10.1099/00207713-49-4-1429	facultative anaerobe	cocci	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helcococcus sueciensis	10.1099/ijs.0.63077-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Stomatobaculum longum	10.1099/ijs.0.042812-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-variable	not indicated	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	major product	not indicated	not indicated	major product
Abyssivirga alkaniphila	10.1099/ijsem.0.000934	obligate anaerobe	rod/ bacilli	motile	non-spore forming	not indicated	not indicated	saccharolytic		not indicated	not indicated	not consumed	not producted	not indicated	not indicated	not indicated	not indicated	not indicated
Cellulosilyticum lentocellum	10.1099/ijs.0.014712-0	obligate anaerobe	slightly curved rods	motile	spore forming	Gram-negative	growth in 20% bile	saccharolytic		urease positive	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Cellulosilyticum ruminicola	10.1099/ijs.0.014712-0	obligate anaerobe	rods or slightly curved rods	non-motile	spore forming	Gram-variable	not indicated	saccharolytic		urease negative	catalase negative	major product	major product	not indicated	not producted	not indicated	not indicated	not indicated
Mobilitalea sibirica	10.1099/ijs.0.057109-0	not indicated	rod/ bacilli	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Pelospora glutarica	10.1099/00207713-50-2-645	not indicated	rod/ bacilli	motile	spore forming	Gram-negative	not indicated	asaccharolytic		not indicated	not indicated	not indicated	not indicated	major product	major product	major product	not indicated	not indicated
Pseudoramibacter alactolyticus	10.1099/00207713-46-4-1083	not indicated	not indicated	not indicated	not indicated	not indicated	no growth in 20% bile	saccharolytic		not indicated	not indicated	major product	major product	consumed	major product	not indicated	major product	not indicated
Robinsoniella peoriensis	10.1099/ijs.0.65676-0	anaerobe (unspecified)	rods or oval-shaped	not indicated	spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	not producted	not indicated	not indicated	not indicated
Sporobacterium olearium	10.1099/00207713-49-4-1741	obligate anaerobe	slightly curved rods	motile	spore forming	Gram-positive	not indicated	asaccharolytic		not indicated	not indicated	not consumed	major product	not indicated	major product	not indicated	not indicated	not indicated
Syntrophomonas cellicola	10.1099/ijs.0.64377-0	not indicated	slightly curved rods	motile	spore forming	Gram-variable	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Syntrophomonas curvata	10.1099/ijs.0.02903-0	not indicated	curved rods	motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	major product	major product	not indicated	major product	not indicated	major product
Syntrophomonas erecta	10.1099/ijs.0.63372-0	not indicated	rod/ bacilli	not indicated	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	major product	major product	not indicated	not consumed	not indicated	not consumed
Syntrophomonas palmitatica	10.1099/ijs.0.64981-0	obligate anaerobe	slightly curved rods	not indicated	not indicated	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	not consumed	not consumed	not indicated	not consumed	not indicated	not indicated
Syntrophomonas zehnderi	10.1099/ijs.0.64734-0	not indicated	slightly curved rods	motile	spore forming	Gram-variable	not indicated	not indicated		not indicated	not indicated	consumed	major product	major product	not indicated	not consumed	not indicated	not consumed
Syntrophothermus lipocalidus	10.1099/00207713-50-2-771	not indicated	slightly curved rods	motile	non-spore forming	not indicated	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	major product	consumed	not indicated	not indicated
Thermosyntropha lipolytica	10.1099/00207713-46-4-1131	not indicated	rods or slightly curved rods	non-motile	non-spore forming	not indicated	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	consumed	not indicated	not indicated	not indicated
Thermosyntropha tengcongensis	10.1099/ijs.0.033456-0	not indicated	slightly curved rods	non-motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Tissierella creatinini	10.1099/00207713-45-3-436	anaerobe (unspecified)	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	asaccharolytic		urease negative	not indicated	consumed	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Tissierella creatinophila	10.1099/00207713-48-3-983	anaerobe (unspecified)	rod/ bacilli	motile	not indicated	Gram-positive	not indicated	not indicated		not indicated	not indicated	consumed	major product	not indicated	major product	not indicated	not indicated	not indicated
Tissierella praeacuta	10.1099/00207713-36-3-461	not indicated	not indicated	motile	not indicated	not indicated	not indicated	saccharolytic		urease negative	not indicated	not indicated	major product	minor product	major product	minor product	not indicated	major product
Parasutterella secunda	10.1099/ijs.0.023556-0	obligate anaerobe	cocci or oval-shaped	non-motile	non-spore forming	Gram-negative	not indicated	asaccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Olivibacter ginsengisoli	10.1099/ijs.0.65299-0	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	asaccharolytic		urease positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Olivibacter jilunii	10.1099/ijs.0.042416-0	aerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Olivibacter oleidegradans	10.1099/ijs.0.026641-0	obligate anaerobe	rod/ bacilli	non-motile	not indicated	Gram-negative	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not consumed	not indicated	not indicated	not consumed	not indicated
Olivibacter soli	10.1099/ijs.0.65299-0	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	saccharolytic		urease positive	not indicated	not indicated	not indicated	not consumed	not indicated	not indicated	not consumed	not indicated
Olivibacter terrae	10.1099/ijs.0.65299-0	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	saccharolytic		urease positive	not indicated	not indicated	not indicated	not consumed	not indicated	not indicated	not consumed	not indicated
Eggerthella lenta	10.1002/9781118960608.gbm00219	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	catalase positive	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Eubacterium rectale	10.1002/9781118960608.gbm00629	not indicated	rods or slightly curved rods	variable	not indicated	Gram-positive	no growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	major product	minor product	major product	not indicated	not indicated	not indicated
Eubacterium limosum	10.1002/9781118960608.gbm00629	not indicated	not indicated	non-motile	not indicated	not indicated	not indicated	mixed		urease negative	catalase negative	not indicated	major product	minor product	major product	minor product	not indicated	minor product
Fusobacterium nucleatum	10.1002/9781118960608.gbm00768	microaerobe or anaerobe	fusiform	non-motile	not indicated	not indicated	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Escherichia coli	10.1002/9781118960608.gbm01147	facultative anaerobe	rod/ bacilli	motile	not indicated	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Lactobacillus crispatus	10.1002/9781118960608.gbm00604	not indicated	rods or slightly curved rods	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Lactobacillus gasseri	10.1002/9781118960608.gbm00604	not indicated	rod/ bacilli	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Lactobacillus murinus	10.1002/9781118960608.gbm00604	not indicated	rod/ bacilli	non-motile	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Lactobacillus reuteri	10.1002/9781118960608.gbm00604	not indicated	bent rods	non-motile	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Lactobacillus salivarius	10.1002/9781118960608.gbm00604	not indicated	rod/ bacilli	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Lactococcus lactis	10.1002/9781118960608.gbm00610	facultative anaerobe	ovoid	non-motile	not indicated	Gram-positive	growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not consumed	not indicated	not indicated	not indicated	not indicated
Leptotrichia goodfellowii	10.1002/9781118960608.gbm00771	facultative anaerobe	rods or slightly curved rods	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Neisseria gonorrhoeae	10.1002/9781118960608.gbm00981	aerobe	cocci	variable	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Propionibacterium acnes	10.1002/9781118960608.gbm00167	variable	pleomorphic	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Pseudomonas aeruginosa	10.1002/9781118960608.gbm01210	not indicated	rod/ bacilli	motile	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	consumed	consumed	consumed	consumed	consumed	consumed
Ralstonia pickettii	10.1002/9781118960608.gbm00941	aerobe	rod/ bacilli	motile	not indicated	Gram-negative	not indicated	saccharolytic		urease positive	catalase positive	not indicated	consumed	not indicated	not indicated	not indicated	not indicated	not indicated
Ruminococcus flavefaciens	10.1002/9781118960608.gbm00678	obligate anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Sneathia sanguinegens	10.1002/9781118960608.gbm00773	facultative anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		urease negative	catalase negative	major product	minor product	not indicated	not indicated	not indicated	not indicated	not indicated
Veillonella parvula	10.1002/9781118960608.gbm00710	variable	cocci	non-motile	non-spore forming	Gram-negative	not indicated	mixed		not indicated	catalase variable	not indicated	major product	major product	not indicated	not indicated	not indicated	not indicated
Clostridium butyricum	10.1002/9781118960608.gbm00619	not indicated	rod/ bacilli	motile	spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	major product	major product	not indicated	major product	not indicated	not indicated	not indicated
Clostridium perfringens	10.1002/9781118960608.gbm00619	not indicated	rod/ bacilli	non-motile	mixed	Gram-positive	growth in 20% bile	saccharolytic		not indicated	not indicated	minor product	major product	major product	major product	not indicated	not indicated	minor product
Staphylococcus aureus	10.1002/9781118960608.gbm00569	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus epidermidis	10.1002/9781118960608.gbm00569	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus haemolyticus	10.1002/9781118960608.gbm00569	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus hyicus	10.1002/9781118960608.gbm00569	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease variable	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus intermedius	10.1002/9781118960608.gbm00569	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus lentus	10.1002/9781118960608.gbm00569	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus anginosus	10.1002/9781118960608.gbm00612	not indicated	cocci	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus gordonii	10.1002/9781118960608.gbm00612	not indicated	cocci	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus mitis	10.1002/9781118960608.gbm00612	not indicated	cocci	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus salivarius	10.1002/9781118960608.gbm00612	not indicated	cocci or ovoid	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus sanguinis	10.1002/9781118960608.gbm00612	not indicated	cocci	not indicated	not indicated	not indicated	not indicated	saccharolytic		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus thermophilus	10.1002/9781118960608.gbm00612	facultative anaerobe	cocci or ovoid	not indicated	not indicated	not indicated	not indicated	saccharolytic		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium actinocoloniiforme	10.1099/ijs.0.022525-0	microaerobe or anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium aesculapii	10.1099/ijs.0.056937-0	aerobe, microaerobe, or anaerobe	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium angulatum	10.1099/00207713-24-1-6	anaerobe (unspecified)	not indicated	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	major product	not producted	not producted	not indicated	not indicated	not indicated
Bifidobacterium aquikefiri	10.1099/ijsem.0.000877	aerobe, microaerobe, or anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	major product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium bohemicum	10.1099/ijs.0.022525-0	obligate anaerobe	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium bombi	10.1099/ijs.0.002915-0	obligate anaerobe	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium boum	10.1099/00207713-29-4-291	aerotolerant	irregular	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	minor product	major product	not producted	not producted	not indicated	not indicated	not indicated
Bifidobacterium catenulatum	10.1099/00207713-24-1-6	anaerobe (unspecified)	not indicated	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium choerinum	10.1099/00207713-29-4-291	anaerobe (unspecified)	irregular	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	minor product	major product	not producted	not producted	not indicated	not indicated	not indicated
Bifidobacterium coryneforme	10.1099/00207713-32-3-358	anaerobe (unspecified)	cocci, oval-shaped, or club-shaped rods	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium cuniculi	10.1099/00207713-29-4-291	anaerobe (unspecified)	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	minor product	major product	not producted	not producted	not indicated	not indicated	not indicated
Bifidobacterium denticolens	10.1099/00207713-46-2-564	anaerobe (unspecified)	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium eulemuris	10.1099/ijsem.0.000924	microaerobe or anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium faecale	10.1099/ijs.0.063479-0	obligate anaerobe	Y-shaped rods	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium gallicum	10.1099/00207713-40-1-100	obligate anaerobe	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	major product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium gallinarum	10.1099/00207713-33-2-127	obligate anaerobe	slightly curved rods or club-shaped	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not producted	not producted	not indicated	not indicated	not indicated
Bifidobacterium globosum	10.1099/00207713-32-3-358	anaerobe (unspecified)	cocci, oval-shaped, or club-shaped rods	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium hapali	10.1099/ijsem.0.000708	microaerobe or anaerobe	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium inopinatum	10.1099/00207713-46-2-564	anaerobe (unspecified)	irregular cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium kashiwanohense	10.1099/ijs.0.024521-0	anaerobe (unspecified)	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium lemurum	10.1099/ijs.0.000162	microaerobe or anaerobe	spiral, ring shaped, or Y-shaped rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium magnum	10.1099/00207713-24-1-29	anaerobe (unspecified)	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not producted	major product	not producted	not producted	not indicated	not indicated	not indicated
Bifidobacterium merycicum	10.1099/00207713-41-1-163	anaerobe (unspecified)	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not producted	not producted	not indicated	not indicated	not indicated
Bifidobacterium minimum	10.1099/00207713-32-3-358	anaerobe (unspecified)	rods, oval-shaped, or club-shaped	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium mongoliense	10.1099/ijs.0.006247-0	facultative anaerobe	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium moukalabense	10.1099/ijs.0.055186-0	obligate anaerobe	irregular rods	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium myosotis	10.1099/ijsem.0.000708	anaerobe (unspecified)	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease positive	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium psychraerophilum	10.1099/ijs.0.02667-0	facultative anaerobe	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium ruminantium	10.1099/00207713-41-1-163	anaerobe (unspecified)	irregular	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	major product	not producted	not producted	not indicated	not indicated	not indicated
Bifidobacterium scardovii	10.1099/00207713-52-3-995	facultative anaerobe	rods or curved rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease variable	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium stercoris	10.1099/ijs.0.019943-0	anaerobe (unspecified)	club or Y-shaped	non-motile	non-spore forming	Gram-positive	no growth in 20% bile	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium subtile	10.1099/00207713-32-3-358	anaerobe (unspecified)	irregular	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium thermacidophilum	10.1099/00207713-50-1-119	anaerobe (unspecified)	irregular rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium tissieri	10.1099/ijsem.0.000708	aerobe, microaerobe, or anaerobe	Y-shaped rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium tsurumiense	10.1099/ijs.0.65296-0	facultative anaerobe	rods or cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
