KC462738	1	1475	s128	Tumebacillus lipolyticus		Alicyclobacillaceae		http://www.bacterio.net/tumebacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Alicyclobacillaceae	Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus
KP050358	1	1457	s128	Tumebacillus luteolus		Alicyclobacillaceae		http://www.bacterio.net/tumebacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Alicyclobacillaceae	Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus
DQ444975	1	1407	s95	Tumebacillus permanentifrigoris	type sp.	Alicyclobacillaceae	1	http://www.bacterio.net/tumebacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Alicyclobacillaceae	Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus
JX233496	1	1522	s128	Tumebacillus soli		Alicyclobacillaceae		http://www.bacterio.net/tumebacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Alicyclobacillaceae	Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus
AB602437	1	1457	s128	Tunicatimonas pelagia	type sp.	Flammeovirgaceae		http://www.bacterio.net/tunicatimonas.html	Bacteria;Bacteroidetes;Cytophagales	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Tunicatimonas
X73976	1	1461	s93	Turicella otitidis	type sp.	Corynebacteriaceae	2	http://www.bacterio.net/turicella.html	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacterineae;Corynebacteriaceae	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Turicella
AF349724	1	1508	s93	Turicibacter sanguinis	type sp.	Erysipelotrichaceae	1, +	http://www.bacterio.net/turicibacter.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter
AY293856	1	1440	s93	Turneriella parva	type sp.	Leptospiraceae	1	http://www.bacterio.net/turneriella.html	Bacteria;Spirochaetes;Leptospiraceae	Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Leptospiraceae;Turneriella
DQ665916	1	1387	s95	Uliginosibacterium gangwonense	type sp.	Rhodocyclaceae	1	http://www.bacterio.net/uliginosibacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Rhodocyclales	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Uliginosibacterium
EF554364	1	1461	s93	Ulvibacter antarcticus		Flavobacteriaceae	1	http://www.bacterio.net/ulvibacter.html	Bacteria;Bacteroidetes;Flavobacteriales and Bacteroidales;Flavobacteriaceae	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ulvibacter
AY243096	1	1419	s93	Ulvibacter litoralis	type sp.	Flavobacteriaceae	1	http://www.bacterio.net/ulvibacter.html	Bacteria;Bacteroidetes;Flavobacteriales and Bacteroidales;Flavobacteriaceae	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ulvibacter
KF146346	1	1440	s119	Ulvibacter marinus		Flavobacteriaceae		http://www.bacterio.net/ulvibacter.html	Bacteria;Bacteroidetes;Flavobacteriales and Bacteroidales;Flavobacteriaceae	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ulvibacter
AB467279	1	1507	s104	Umboniibacter marinipuniceus	type sp.	Cellvibrionaceae		http://www.bacterio.net/umboniibacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Cellvibrionales	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Umboniibacter
KP313719	1	1471	s128	Umboniibacter roseus		Cellvibrionaceae		http://www.bacterio.net/umboniibacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Cellvibrionales	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Umboniibacter
KP984506	1	1510	s128	Umezawaea endophytica		Pseudonocardiaceae		http://www.bacterio.net/umezawaea.html	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardineae and Actinopolysporineae	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;Umezawaea
AB020031	1	1475	s93	Umezawaea tangerina	type sp.	Pseudonocardiaceae	1	http://www.bacterio.net/umezawaea.html	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardineae and Actinopolysporineae	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;Umezawaea
KM035973	1	1444	s128	Undibacterium aquatile		Oxalobacteraceae		http://www.bacterio.net/undibacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium
KC735150	1	1431	s119	Undibacterium jejuense		Oxalobacteraceae		http://www.bacterio.net/undibacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium
JQ029110	1	1422	s119	Undibacterium macrobrachii		Oxalobacteraceae		http://www.bacterio.net/undibacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium
GQ379228	1	1527	s106	Undibacterium oligocarboniphilum		Oxalobacteraceae		http://www.bacterio.net/undibacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium
AM397629	1	1442	s106	Undibacterium parvum		Oxalobacteraceae		http://www.bacterio.net/undibacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium
AM397630	1	1434	s93	Undibacterium pigrum	type sp.	Oxalobacteraceae	1	http://www.bacterio.net/undibacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium
KC735151	1	1425	s119	Undibacterium seohonense		Oxalobacteraceae		http://www.bacterio.net/undibacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium
HE648174	1	1525	s121	Undibacterium squillarum		Oxalobacteraceae		http://www.bacterio.net/undibacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium
JQ417431	1	1491	s115	Undibacterium terreum		Oxalobacteraceae		http://www.bacterio.net/undibacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium
D78648	1	1480	s93	Ureaplasma canigenitalium		Mycoplasmataceae		http://www.bacterio.net/ureaplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Mycoplasmatales	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma
D78649	1	1476	s93	Ureaplasma cati		Mycoplasmataceae	1	http://www.bacterio.net/ureaplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Mycoplasmatales	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma
D78650	1	1478	s93	Ureaplasma diversum		Mycoplasmataceae	2, t	http://www.bacterio.net/ureaplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Mycoplasmatales	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma
D78651	1	1473	s93	Ureaplasma felinum		Mycoplasmataceae	1	http://www.bacterio.net/ureaplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Mycoplasmatales	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma
U62937	1	1455	s93	Ureaplasma gallorale		Mycoplasmataceae	2, t	http://www.bacterio.net/ureaplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Mycoplasmatales	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma
AF073456	1	1439	s93	Ureaplasma parvum		Mycoplasmataceae	2	http://www.bacterio.net/ureaplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Mycoplasmatales	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma
AF073450	1	1435	s93	Ureaplasma urealyticum	type sp.	Mycoplasmataceae	2, ht	http://www.bacterio.net/ureaplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Mycoplasmatales	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma
DQ348071	1	1515	s93	Ureibacillus composti		Planococcaceae	1	http://www.bacterio.net/ureibacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Bacillaceae;Planococcaceae branch	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Ureibacillus
JX274433	1	1473	s119	Ureibacillus defluvii		Planococcaceae		http://www.bacterio.net/ureibacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Bacillaceae;Planococcaceae branch	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Ureibacillus
AY850379	1	1480	s93	Ureibacillus suwonensis		Planococcaceae	1	http://www.bacterio.net/ureibacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Bacillaceae;Planococcaceae branch	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Ureibacillus
AJ276403	1	1489	s93	Ureibacillus terrenus		Planococcaceae	1	http://www.bacterio.net/ureibacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Bacillaceae;Planococcaceae branch	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Ureibacillus
DQ348072	1	1509	s93	Ureibacillus thermophilus		Planococcaceae	1	http://www.bacterio.net/ureibacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Bacillaceae;Planococcaceae branch	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Ureibacillus
AB101594	1	1540	s93	Ureibacillus thermosphaericus	type sp.	Planococcaceae	1	http://www.bacterio.net/ureibacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Bacillaceae;Planococcaceae branch	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Ureibacillus
KJ632969	1	1290	s128	Ursidibacter arcticus		Pasteurellaceae		http://www.bacterio.net/ursidibacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Enterobacteriales-Pasteurellales and Orbales;Pasteurellales	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Ursidibacter
KJ632968	1	1358	s128	Ursidibacter maritimus	type sp.	Pasteurellaceae		http://www.bacterio.net/ursidibacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Enterobacteriales-Pasteurellales and Orbales;Pasteurellales	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Ursidibacter
AJ586614	1	1468	s93	Uruburuella suis	type sp.	Neisseriaceae	2, t	http://www.bacterio.net/uruburuella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Uruburuella
JX966318	1	1363	s123	Uruburuella testudinis		Neisseriaceae		http://www.bacterio.net/uruburuella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Uruburuella
AB564595	1	1439	s108	Vadicella arenosi	type sp.	Rhodobacteraceae		http://www.bacterio.net/vadicella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodobacterales	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Vadicella
FJ211190	1	1450	s106	Vagococcus acidifermentans		Enterococcaceae		http://www.bacterio.net/vagococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Lactobacillales;Enterococcaceae and Streptococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus
AY179329	1	1513	s93	Vagococcus carniphilus		Enterococcaceae		http://www.bacterio.net/vagococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Lactobacillales;Enterococcaceae and Streptococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus
AF445297	1	1554	s93	Vagococcus elongatus		Enterococcaceae		http://www.bacterio.net/vagococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Lactobacillales;Enterococcaceae and Streptococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus
JQ363620	1	1430	s119	Vagococcus entomophilus		Enterococcaceae		http://www.bacterio.net/vagococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Lactobacillales;Enterococcaceae and Streptococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus
AJ243326	1	1437	s93	Vagococcus fessus		Enterococcaceae	1	http://www.bacterio.net/vagococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Lactobacillales;Enterococcaceae and Streptococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus
Y18098	1	1469	s93	Vagococcus fluvialis	type sp.	Enterococcaceae	2, ht	http://www.bacterio.net/vagococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Lactobacillales;Enterococcaceae and Streptococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus
Y17152	1	1463	s93	Vagococcus lutrae		Enterococcaceae	1	http://www.bacterio.net/vagococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Lactobacillales;Enterococcaceae and Streptococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus
FJ360897	1	1550	s104	Vagococcus penaei		Enterococcaceae		http://www.bacterio.net/vagococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Lactobacillales;Enterococcaceae and Streptococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus
Y18097	1	1465	s93	Vagococcus salmoninarum		Enterococcaceae	1, t2	http://www.bacterio.net/vagococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Lactobacillales;Enterococcaceae and Streptococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus
HE805640	1	1444	s119	Vallitalea guaymasensis	type sp.	Unclassified Clostridiales		http://www.bacterio.net/vallitalea.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales	Bacteria;Firmicutes;Clostridia;Unclassified Clostridiales;Vallitalea
KC876639	1	1480	s119	Vallitalea pronyensis		Unclassified Clostridiales		http://www.bacterio.net/vallitalea.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales	Bacteria;Firmicutes;Clostridia;Unclassified Clostridiales;Vallitalea
HM038000	1	1446	s104	Vampirovibrio chlorellavorus	type sp.	Bdellovibrionaceae	1	http://www.bacterio.net/vampirovibrio.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Vampirovibrio
AJ428402	1	1510	s93	Varibaculum cambriense	type sp.	Actinomycetaceae	2	http://www.bacterio.net/varibaculum.html	Bacteria;Actinobacteria;Actinobacteria;Microccocales and Actinomycetaceae;Actinomycetaceae	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycineae;Actinomycetaceae;Varibaculum
HF970589	1	1407	s119	Variibacter gotjawalensis	type sp.	Xanthobacteraceae		http://www.bacterio.net/variibacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhizobiales	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Variibacter
AB300597	1	1475	s95	Variovorax boronicumulans		Comamonadaceae	1	http://www.bacterio.net/variovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
HQ385753	1	1498	s111	Variovorax defluvii		Comamonadaceae		http://www.bacterio.net/variovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
DQ178978	1	1486	s93	Variovorax dokdonensis		Comamonadaceae	1	http://www.bacterio.net/variovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
AB245358	1	1492	s104	Variovorax ginsengisoli		Comamonadaceae		http://www.bacterio.net/variovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
KR349468	1	1437	s128	Variovorax gossypii		Comamonadaceae		http://www.bacterio.net/variovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
JF495126	1	1395	s123	Variovorax guangxiensis		Comamonadaceae		http://www.bacterio.net/variovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
AJ420329	1	1483	s93	Variovorax paradoxus	type sp.	Comamonadaceae	1	http://www.bacterio.net/variovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
DQ432053	1	1478	s93	Variovorax soli		Comamonadaceae	1	http://www.bacterio.net/variovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
GQ221761	1	1423	s102	Vasilyevaea enhydra	type sp.	Unclassified Rhizobiales	1	http://www.bacterio.net/vasilyevaea.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhizobiales;Other Hyphomicrobiaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Unclassified Rhizobiales;Vasilyevaea
FJ560749	1	1421	s100	Vasilyevaea mishustinii		Unclassified Rhizobiales		http://www.bacterio.net/vasilyevaea.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhizobiales;Other Hyphomicrobiaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Unclassified Rhizobiales;Vasilyevaea
AF439641	1	1400	s93	Veillonella atypica		Veillonellaceae	1, +	http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
AY355140	1	1402	s93	Veillonella caviae		Veillonellaceae	1	http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
AF186072	1	1492	s93	Veillonella criceti		Veillonellaceae	1	http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
EF185167	1	1497	s93	Veillonella denticariosi		Veillonellaceae	1, +	http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
AF439639	1	1375	s93	Veillonella dispar		Veillonellaceae	1, +	http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
EU096495	1	1449	s100	Veillonella magna		Veillonellaceae		http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
AF473836	1	1409	s93	Veillonella montpellierensis		Veillonellaceae	1, +	http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
AY995767	1	1497	s93	Veillonella parvula	type sp.	Veillonellaceae	2	http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
AY355138	1	1396	s93	Veillonella ratti		Veillonellaceae	1	http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
AY514996	1	1307	s93	Veillonella rodentium		Veillonellaceae	1	http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
EF108443	1	1344	s95	Veillonella rogosae		Veillonellaceae	1	http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
AY211542	1	1343	s121	Veillonella seminalis		Veillonellaceae		http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
AB679109	1	1520	s115	Veillonella tobetsuensis		Veillonellaceae		http://www.bacterio.net/veillonella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales;Veillonellales	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
DQ989208	1	1506	s95	Venenivibrio stagnispumantis	type sp.	Hydrogenothermaceae	1	http://www.bacterio.net/venenivibrio.html	Bacteria;Aquificae;Hydrogenothermaceae	Bacteria;Aquificae;Aquificae;Aquificales;Hydrogenothermaceae;Venenivibrio
FJ214186	1	1396	s115	Verminephrobacter aporrectodeae		Comamonadaceae		http://www.bacterio.net/verminephrobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Verminephrobacter
DQ327663	1	1459	s100	Verminephrobacter eiseniae	type sp.	Comamonadaceae		http://www.bacterio.net/verminephrobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Verminephrobacter
